name,rank,functions,structural_material,status,city,city_locode,start,completed,floors_above,height,longitude,latitude,dem
Broadway Plaza,1637,residential,concrete,COM,Rochester,RST,2002,2004,29,104.2399978638,-92.4625778198,44.0227890015,
Broderick Tower Lofts,1445,residential,steel,COM,Detroit,DTT,1926,1928,35,112.5999984741,-83.0504074097,42.3355712891,
Brookdale Plaza,1426,residential,concrete,COM,Chicago,CHI,1988,1990,38,113.3899993897,-87.6374130249,41.9357795715,
Bryan Tower,589,office,steel,COM,Dallas,DAL,1970,1973,40,156.0599975586,-96.7963867188,32.7852783203,
Bryant Building,1835,office,steel,COM,Kansas City,MKC,1929,1931,26,96.9000015259,-94.5811691284,39.1009101868,
Buckhead Grand,882,residential,concrete,COM,Atlanta,ATL,2002,2004,38,137.4700012207,-84.3706970215,33.8487586975,
Buckingham Plaza,1223,residential,concrete,COM,Chicago,CHI,,1982,44,121.919998169,-87.6178207397,41.8847885132,
Buffalo City Hall,1378,government,steel,COM,Buffalo,BUF,1929,1931,32,115.2200012207,-78.8793182373,42.8866081238,
Buffalo General Hospital Building A,2295,hospital,steel,COM,Buffalo,BUF,1982,1986,16,65,-78.8664627075,42.9007987976,
Buhl Building,1472,office,steel,COM,Detroit,DTT,1924,1925,29,111.5999984741,-83.0467910767,42.3294487,
Buncombe County Courthouse,2260,government,steel,COM,Asheville,AEV,,1928,17,70.0999984741,-82.5485916138,35.5959701538,
Bunker Hill Towers,1583,office,steel,COM,Los Angeles,LAX,,1968,32,106.3799972534,-118.2517776489,34.0561103821,
Bush Tower,997,office,steel,COM,New York City,NYC,1916,1917,30,131.6799926758,-73.9855270386,40.7551002502,
Cadillac Tower,969,office,steel,COM,Detroit,DTT,,1927,40,133.1999969482,-83.0448226929,42.3319091797,
CalSTRS Building,2065,office,steel,COM,West Sacramento,WSM,,2009,15,84.4300003052,-121.5093078613,38.5850715637,
Cambria Suites Hotel,2262,hotel,concrete,COM,New York City,NYC,,2009,22,69.5,-73.9951324463,40.7522201538,
Camden City Hall,1434,government,steel,COM,Camden,CDE,1929,1931,18,113.0800018311,-75.1200408936,39.9448318481,
Campbell Mithun Tower,350,office,steel\/concrete,COM,Minneapolis,MES,1983,1985,42,177.2400054932,-93.2700271606,44.9736404419,
Canadian Pacific Plaza,1392,office,steel,COM,Minneapolis,MES,1958,1960,28,114.7600021362,-93.2687835693,44.977180481,
Canterbury Place,1443,residential,concrete,COM,Honolulu,HNL,,1978,40,112.75,-157.8352355957,21.2854995728,
Capella Tower,94,office,composite,COM,Minneapolis,MES,1989,1992,56,236.5299987793,-93.2686462402,44.9763298035,
Capital Center South Tower,1863,office,precast,COM,Indianapolis,IND,1985,1987,22,94.7900009155,-86.159362793,39.7703208923,
Capitol at Chelsea,1247,residential,concrete,COM,New York City,NYC,2000,2001,37,121.3000030518,-73.9909667969,40.7449302673,
Capitol Place,1417,residential,concrete,COM,Honolulu,HNL,2006,2008,39,113.6999969482,-157.8580169678,21.3108100891,
Capitol Records Building,2279,office,steel,COM,Los Angeles,LAX,1954,1956,13,67,-118.3264007568,34.1031608582,
Capitol Square (CMH),1568,office,steel,COM,Columbus,CMH,,1984,26,106.6999969482,-82.9983291626,39.9599685669,
Capitol Square (SAC),1556,office,concrete,COM,Sacramento,SAC,,1992,25,106.9800033569,-121.5026931763,38.5773887634,
Capitol Tower,2385,office,concrete,UC,Houston,HOU,2015,2018,34,,-95.3647232056,29.7598590851,
Carbide & Carbon Building,623,hotel,steel,COM,Chicago,CHI,1928,1929,37,153.3200073242,-87.6248016357,41.8866004944,
Carbonell Condominium,1174,residential,concrete,COM,Miami,MIA,2003,2005,39,124,-80.1867218018,25.7693195343,
Carew Tower,372,office,steel,COM,Cincinnati,CVG,1929,1931,49,175,-84.5132217407,39.100730896,
Carl B. Stokes Federal Courthouse,1008,government,steel,COM,Cleveland,CLE,1999,2002,23,131.0700073242,-81.6975021362,41.4964408875,
Carmel Place,2378,residential \/ retail,concrete,COM,New York City,NYC,2014,2015,9,33.2200012207,-73.9773788452,40.7398681641,
Carnegie Hall Tower,101,office,concrete,COM,New York City,NYC,1988,1991,60,230.7400054932,-73.9796295166,40.7648086548,
CassaNY,744,residential \/ hotel,concrete,COM,New York City,NYC,2007,2010,45,145.6399993897,-73.9822235107,40.7563285828,
Catalyst,1702,residential,concrete,UC,Houston,HOU,2015,2016,28,101.8000030518,-95.3584823608,29.7581291199,
Cathedral of Learning,500,education,steel,COM,Pittsburgh,PIT,1926,1936,42,163.0700073242,-79.953163147,40.4443016052,
CBS Building,688,office,concrete,COM,New York City,NYC,1961,1965,38,149.6600036621,-73.9787597656,40.7612304688,
Cecil and Ida Green Center for Earth Sciences,2063,education,concrete,COM,Cambridge,JHY,1962,1964,21,84.4300003052,-71.0892791748,42.3602600098,
Celanese Building,328,office,steel,COM,New York City,NYC,,1973,45,180.4400024414,-73.9822616577,40.7585792542,
Centerpoint Energy Plaza,123,office,steel,COM,Houston,HOU,,1996,53,225.8600006104,-95.3679504395,29.7571296692,
Central Park Tower,3,residential \/ hotel \/ retail,concrete,UC,New York City,NYC,2014,2019,95,472.4400024414,-73.9809494019,40.7663612366,
Central Tower,1955,office,steel,COM,San Francisco,SFO,,1938,21,90.8300018311,-122.4036407471,37.7872085571,
Century Building (CHI),2147,abandoned,steel,COM,Chicago,CHI,,1915,16,80,-87.6280975342,41.8792991638,
Century Building (NYC),2185,office,steel,DEM,New York City,NYC,,1903,20,77.7200012207,-74.0119628906,40.70703125,1964
Century Park Plaza Tower A,1357,residential,concrete,COM,Pearl City (Oahu),PLC,,1975,43,116,-157.9800720215,21.3974895477,
Century Park Plaza Tower B,1357,residential,concrete,COM,Pearl City (Oahu),PLC,,1975,43,116,-157.9793548584,21.3986492157,
Century Square,1353,office,steel,COM,Seattle,SEA,,1986,30,116.1299972534,-122.3374710083,47.6102409363,
Century Tower,1680,residential,concrete,COM,Chicago,CHI,,1930,28,102.4100036621,-87.6337814331,41.8859786987,
CenturyLink Building,1082,office,steel,COM,Minneapolis,MES,1930,1932,26,128.3000030518,-93.2667007446,44.9774513245,
Chamber of Commerce Building,1573,office,steel,COM,New York City,NYC,,1926,30,106.6800003052,-73.9908599854,40.6935997009,
Chanin Building,217,office,steel,COM,New York City,NYC,1927,1929,56,197.8000030518,-73.9766464233,40.7511787415,
Charles Center South,1741,office,steel,COM,Baltimore,BAL,,1975,25,100.5899963379,-76.6155090332,39.2879714966,
Charles Towers North Apartments,1574,residential,concrete,COM,Baltimore,BAL,,1967,27,106.6800003052,-76.6160583496,39.2924194336,
Charles Towers South Apartments,1334,residential,concrete,COM,Baltimore,BAL,1965,1969,30,117.3499984741,-76.6166610718,39.292049408,
Chase Bank Building,2067,office,concrete,COM,Evanston,EVD,1968,1969,22,84.3700027466,-87.6806488037,42.0471305847,
Chase Tower (CHI),61,office,steel,COM,Chicago,CHI,1966,1969,60,259.0799865723,-87.630241394,41.8816108704,
Chase Tower (IND),158,office,steel,COM,Indianapolis,IND,1987,1990,49,213.669998169,-86.1571273804,39.7695808411,
Chase Tower (PHX),726,office,steel,COM,Phoenix,PHX,,1972,40,147.2200012207,-112.073097229,33.4508781433,
Chateau Beach Residences,906,residential,concrete,COM,Sunny Isles Beach,SI3,2012,2015,34,136.8000030518,-80.1206817627,25.9379405975,
Chelsea Arts Tower,1994,other \/ office,concrete,COM,New York City,NYC,2005,2007,20,89,-74.005027771,40.7499885559,
Chelsea Landmark,1461,residential,concrete,COM,New York City,NYC,2005,2007,36,112.169998169,-73.9914169312,40.7443618774,
Chelsea Stratus,686,residential,concrete,COM,New York City,NYC,2006,2008,40,149.6600036621,-73.9925994873,40.7439193726,
Chelsea Tower,1313,residential,concrete,COM,New York City,NYC,,2003,33,118,-73.9918518066,40.7448005676,
Chemed Center,1150,office,concrete,COM,Cincinnati,CVG,,1990,32,125,-84.5081710815,39.1011886597,
Chestnut Park,2008,residential,concrete,COM,Springfield (MA),SFY,,1974,33,88.0899963379,-72.5858306885,42.1025390625,
Chestnut Tower,1512,residential,concrete,COM,Chicago,CHI,1999,2000,36,109.6999969482,-87.6324462891,41.8976707459,
Chevron Tower,377,office,steel,COM,San Francisco,SFO,,1975,40,174.6499938965,-122.4003219605,37.7895698547,
Chicago Board of Trade,294,office,steel,COM,Chicago,CHI,1929,1930,44,184.4100036621,-87.6323776245,41.8776092529,
Chicago Hilton & Towers,1653,hotel,steel,COM,Chicago,CHI,1925,1927,29,103.6299972534,-87.6247634888,41.8724708557,
Chicago Place,287,residential \/ retail,concrete,COM,Chicago,CHI,,1991,49,185.3200073242,-87.625038147,41.8953094482,
Chicago Spire,1,residential,steel\/concrete,OH,Chicago,CHI,2007,,150,609.5999755859,-87.6148605347,41.8898887634,
Chicago Temple Building,392,office \/ religious,steel,COM,Chicago,CHI,1922,1924,23,173.1300048828,-87.6307067871,41.8830413818,
Chicago Title & Trust Center,103,office,composite,COM,Chicago,CHI,1990,1992,50,230.4799957275,-87.6305465698,41.8848114014,
Children`s Hospital @ 700 Schuylkill Phase 1,1409,office \/ hospital,composite,UC,Philadelphia,PHL,2015,2017,23,114.3000030518,-75.1864776611,39.9455413818,
Chiquita Center,1457,office,steel,COM,Cincinnati,CVG,,1984,29,112.1999969482,-84.5085678101,39.1022911072,
Chrysler Building,24,office,steel,COM,New York City,NYC,1928,1930,77,318.8999938965,-73.9753494263,40.7516098022,
Chrysler East,994,office,steel,COM,New York City,NYC,1998,1999,32,131.7400054932,-73.9745330811,40.7512588501,
Chrysler House,1798,office,steel,COM,Detroit,DTT,1910,1913,23,98.5999984741,-83.0480117798,42.3308105469,
Cielo,1692,residential,composite,COM,Seattle,SEA,2013,2015,31,102.0999984741,-122.3296127319,47.6097297668,
Cira Centre,972,office,steel,COM,Philadelphia,PHL,2004,2005,29,133.1000061035,-75.1826019287,39.9573287964,
Circus Circus Skyrise Tower,1909,hotel,concrete,COM,Las Vegas,LAS,,1986,29,93,-115.1648025513,36.1385192871,
Circus Circus West Tower,1676,hotel \/ casino,concrete,COM,Las Vegas,LAS,1995,1996,35,102.6999969482,-115.1654129028,36.1377410889,
Cirque,1861,,concrete,COM,Dallas,DAL,,2007,28,94.8000030518,-96.8086624146,32.7898216248,
Cirrus,950,residential,concrete,COM,Seattle,SEA,2013,2015,39,134.1000061035,-122.3374023438,47.6165390015,
Citadel Center,353,office,steel,COM,Chicago,CHI,2000,2003,39,176.8399963379,-87.6288909912,41.8797187805,
Citibank Building,539,office,steel,COM,New York City,NYC,1959,1961,41,159.7200012207,-73.9718399048,40.7591705322,
Citigroup Building,192,office,steel,COM,New York City,NYC,,1990,50,205.1300048828,-73.9440307617,40.7470016479,
Citigroup Center,260,office,steel,COM,Los Angeles,LAX,,1979,48,190.5,-118.2550582886,34.0516090393,
City Center (BVE),1519,office,composite,COM,Bellevue,BVE,,1986,27,109.0999984741,-122.195602417,47.6150817871,
City Centre (SEA),289,office,steel,COM,Seattle,SEA,1987,1989,44,184.8200073242,-122.3346633911,47.6105995178,
City Hall (LAX),865,government,steel,COM,Los Angeles,LAX,1926,1928,27,138.3800048828,-118.2426376343,34.0536804199,
City Hall (MKC),935,government,steel,COM,Kansas City,MKC,1935,1937,30,135,-94.5778274536,39.1005897522,
City Hall & Courthouse,2160,,steel,COM,St. Paul,STP,1931,1932,18,79.5,-93.0939025879,44.9441299438,
City Hall Plaza,2076,office,steel,COM,Manchester (NH),MHT,,1992,20,83.8199996948,-71.463432312,42.9905586243,
City Hyde Park,2355,residential \/ retail,concrete,COM,Chicago,CHI,2014,2016,14,52.3899993896,-87.5880584717,41.801940918,
City Investing Building,705,office,steel,DEM,New York City,NYC,1906,1908,33,148.2899932861,-74.0109405518,40.7098693848,1968
City National Bank Building,1592,office,steel,COM,Los Angeles,LAX,1966,1968,24,106.0699996948,-118.2541275024,34.0476493835,
City National Tower,160,office,steel,COM,Los Angeles,LAX,,1971,52,213.0599975586,-118.2577133179,34.05078125,
City Place (CHI),793,office \/ hotel,concrete,COM,Chicago,CHI,,1990,40,143.2599945068,-87.6248703003,41.8946685791,
City Place (OKC),953,office,steel,COM,Oklahoma City,OKC,,1931,33,134.1000061035,-97.5160369873,35.4690093994,
City Point Tower I,1501,residential,concrete,COM,New York City,NYC,2013,2015,27,110,-73.9828796387,40.6907081604,
City Point Tower II,535,residential,concrete,COM,New York City,NYC,2013,2016,46,160,-73.9826431274,40.6911506653,
City-County Building,1419,government,steel,COM,Indianapolis,IND,1960,1962,28,113.4599990845,-86.1534576416,39.7679595947,
Cityfront Place,1256,residential,concrete,COM,Chicago,CHI,,1991,40,120.6999969482,-87.6179122925,41.8891181946,
Citylights at Queens Landing,1158,residential,concrete,COM,New York City,NYC,,1997,42,124.8700027466,-73.9575271606,40.7444000244,
Cityscape Tower 2,2391,residential \/ hotel,concrete,COM,Phoenix,PHX,2008,2014,26,,-112.0733566284,33.4474487305,
CitySpire,73,residential \/ office,concrete,COM,New York City,NYC,,1987,75,248.1100006104,-73.9796981812,40.7641983032,
Civic Opera Building,423,office \/ other,steel,COM,Chicago,CHI,1927,1929,45,169.169998169,-87.6374511719,41.8826217651,
Civil Courts Building,1323,government,steel,COM,St. Louis,STL,,1929,13,117.6999969482,-90.1972427368,38.6275215149,
Claridge Tower at Bally`s,1441,hotel,steel,COM,Atlantic City,AIY,1929,1930,23,112.7799987793,-74.431892395,39.3576393127,
Clark and Grand Hotels,2336,hotel,concrete,COM,Chicago,CHI,2011,2013,19,57.7599983215,-87.6307983398,41.8914299011,
Clark Building,1933,residential,steel,COM,Pittsburgh,PIT,,1928,26,91.75,-79.9995117188,40.4427490234,
Clorox Building,1734,office,steel,COM,Oakland,OAK,,1976,24,100.5999984741,-122.2721099854,37.8035087585,
CNA Plaza,306,office,steel,COM,Chicago,CHI,1970,1972,44,183.1900024414,-87.6256027222,41.8773994446,
CNA Plaza North,1710,office,steel,COM,Chicago,CHI,1961,1962,24,101.5,-87.6255569458,41.8779716492,
Coast at Lakeshore East,806,residential,concrete,COM,Chicago,CHI,2011,2013,47,142.2200012207,-87.6186599731,41.8873596191,
Coastal States Insurance Building,1391,office,steel,COM,Atlanta,ATL,1970,1971,27,114.9000015259,-84.3879318237,33.7615814209,
Coit Tower,2304,observation,concrete,COM,San Francisco,SFO,,1933,13,64,-122.4058303833,37.8023796082,
Colony House Condominiums,2421,residential,concrete,COM,Atlanta,ATL,1972,1973,15,,-84.3821487427,33.7879905701,
Colorado Apartments,1340,residential,concrete,COM,New York City,NYC,,1987,35,117,-73.9533920288,40.7788696289,
Columbia Center,43,office,composite,COM,Seattle,SEA,1982,1984,76,284.3800048828,-122.3305969238,47.6046409607,
Columbia Medical & Graduate Education Building,2423,education,concrete,UCT,New York City,NYC,2013,2016,14,,-73.9427108765,40.8446884155,
Columbus Plaza,800,residential,concrete,COM,Chicago,CHI,1978,1980,47,142.6499938965,-87.6210708618,41.8876495361,
Comcast Building,60,office,steel,COM,New York City,NYC,1931,1933,70,259.0799865723,-73.9793930054,40.7589912415,
Comcast Center,37,office,composite,COM,Philadelphia,PHL,2005,2008,57,296.7300109863,-75.1684799194,39.9547386169,
Comcast Innovation and Technology Center,17,hotel \/ office,composite,UC,Philadelphia,PHL,2014,2018,59,341.6799926758,-75.1702880859,39.9550209045,
Comerica Bank Tower,84,office,composite,COM,Dallas,DAL,,1987,60,239.8800048828,-96.7963180542,32.7816314697,
Commerce Tower,1170,office,steel,COM,Kansas City,MKC,,1965,32,124.0999984741,-94.582649231,39.1032295227,
Commercial Cable Building,1920,office,steel,DEM,New York City,NYC,1896,1897,21,92.6600036621,-74.0112915039,40.7065696716,1954
Commonwealth Building,1942,office,steel,COM,Pittsburgh,PIT,,1906,21,91.4000015259,-80.0008010864,40.4390602112,
Commonwealth Promenade I,2193,residential,steel\/concrete,COM,Chicago,CHI,1953,1956,27,77.1200027466,-87.6385574341,41.9330787659,
Commonwealth Promenade II,2193,residential,steel\/concrete,COM,Chicago,CHI,1953,1956,27,77.1200027466,-87.638999939,41.9333610535,
Concerto Tower 1,1718,residential,concrete,COM,Los Angeles,LAX,2007,2009,28,101.1999969482,-118.2629699707,34.0457382202,
Concord City Centre,1720,residential,steel,COM,Chicago,CHI,,1927,23,101.1999969482,-87.6344680786,41.8834991455,
Conoco-Phillips Building,1968,office,steel,COM,Anchorage,ANC,,1983,22,90.2200012207,-149.8962249756,61.2152099609,
Conrad Indianapolis & Residences,2019,residential \/ hotel,concrete,COM,Indianapolis,IND,2004,2006,23,87.4800033569,-86.1595993042,39.7675285339,
Consolidated Gas Building,743,office,steel,COM,New York City,NYC,1924,1928,24,145.6999969482,-73.9883422852,40.7340316772,
Constellation Place,689,office,steel,COM,Los Angeles,LAX,2001,2003,35,149.5,-118.4175262451,34.0570716858,
Consumers Building (CHI),1999,office,steel,COM,Chicago,CHI,1912,1913,22,88.6999969482,-87.6280899048,41.8789482117,
Continental Building (NYC),593,office,steel,COM,New York City,NYC,1930,1931,42,155.7599945068,-73.9864578247,40.7546615601,
Continental Can Building,415,office,steel,COM,New York City,NYC,1959,1962,39,169.7799987793,-73.9747161865,40.7495613098,
Continental Life Building,2025,residential,steel,COM,St. Louis,STL,1929,1930,22,87.0999984741,-90.2325286865,38.6385383606,
Continental Place,1580,residential,concrete,COM,Seattle,SEA,,1981,34,106.4000015259,-122.3452301025,47.6122283936,
"Continuum on South Beach, North Tower",1139,residential,concrete,COM,Miami Beach,MB4,2000,2002,40,125.5,-80.13256073,25.7679595947,
"Continuum on South Beach, South Tower",788,residential,concrete,COM,Miami Beach,MB4,2000,2002,44,143.5,-80.132850647,25.7668399811,
Cook County Administration Building,772,office,concrete,COM,Chicago,CHI,1962,1964,35,144.7799987793,-87.6299972534,41.8829612732,
Corn Exchange Bank Annex,2000,office,steel,DEM,New York City,NYC,1902,1904,20,88.6999969482,-74.0101470947,40.7056694031,1989
Cosmopolitan,1739,residential,concrete,COM,Seattle,SEA,2005,2007,33,100.5899963379,-122.3357620239,47.6160697937,
Cosmopolitan Casino Beach Club Tower,299,residential,concrete\/steel,COM,Las Vegas,LAS,2006,2010,50,183.9499969482,-115.1742477417,36.1102600098,
Cosmopolitan Casino Spa Tower,298,hotel,concrete\/steel,COM,Las Vegas,LAS,2006,2010,52,183.9499969482,-115.1764907837,36.1099205017,
Cosmopolitan on the Park,1654,residential,concrete,UCT,Portland,PDX,2014,2016,28,103.6299972534,-122.6821365356,45.5317993164,
Courts Brickell Key,1684,residential,concrete,COM,Miami,MIA,,2002,34,102.4000015259,-80.186416626,25.7684803009,
Courtyard & Residence Inn Manhattan\/Central Park,106,hotel,concrete,COM,New York City,NYC,2011,2013,67,229.6199951172,-73.982711792,40.7643585205,
Courtyard and Residence Inn by Marriott,1258,hotel,concrete,UC,New York City,NYC,2014,2016,39,120.6999969482,-74.0062866211,40.7072486877,
Cozumel at Cape Marco in Marco Island,1549,residential,concrete,COM,Marco Island,MRK,,1996,24,107.3000030518,-81.7288131714,25.9095191956,
Crain Communications Building,349,office,concrete,COM,Chicago,CHI,1982,1983,41,177.3999938965,-87.6248931885,41.8847885132,
Credit Lyonnais Building,286,office,steel,COM,New York City,NYC,,1964,46,185.6300048828,-73.979888916,40.7616996765,
Cristalla,2234,residential,concrete,COM,Seattle,SEA,2002,2005,23,73,-122.3430175781,47.6121406555,
Crown Building,1120,office,steel,COM,New York City,NYC,,1921,25,126.8000030518,-73.9745635986,40.7628593445,
Crown Plaza Cincinnati,2089,hotel \/ residential,steel,COM,Cincinnati,CVG,1947,1949,19,82.9100036621,-84.5139465332,39.1020812988,
Crowne Plaza Hotel Downtown Seattle,1552,hotel,composite,COM,Seattle,SEA,,1980,34,107,-122.3321380615,47.6081809998,
Crystal Plaza II,2285,residential,concrete,COM,Arlington,ARP,2008,2009,20,66.4400024414,-77.0500106812,38.8559303284,
Crystal Point,974,residential,concrete,COM,Jersey City,JEC,2007,2009,42,132.8999938965,-74.0319519043,40.7215614319,
Cudahy Tower,2270,residential \/ office,steel,COM,Milwaukee,MKE,1927,1928,16,68.4000015259,-87.8995819092,43.0413208008,
Cyan on Peachtree,2399,residential,concrete,COM,Atlanta,ATL,2014,2015,23,,-84.3658676147,33.8491783142,
D. S. Morgan Building,2276,office,steel,DEM,Buffalo,BUF,1894,1895,12,67.3600006104,0,0,1965
Daily Commerce Building,934,office,steel,COM,New York City,NYC,1930,1931,38,135,-73.973777771,40.7524414063,
Daily News Building,760,office,steel,COM,New York City,NYC,1928,1930,36,145.0899963379,-73.973449707,40.7498588562,
Daniels & Fisher Tower,1786,office,steel,COM,Denver,DEN,,1910,20,99.0999984741,-104.9956436157,39.7481193542,
David Stott Building,973,office,steel,COM,Detroit,DTT,1928,1929,32,133.0800018311,-83.0485610962,42.332408905,
David Whitney Building,2092,office,steel,COM,Detroit,DTT,1915,1916,19,82.9000015259,-83.0504226685,42.3355712891,
Detroit Marriott at the Renaissance Center,133,hotel,concrete,COM,Detroit,DTT,1973,1977,70,221.4900054932,-83.0396881104,42.3289909363,
Deutsche Bank,564,office,steel,DEM,New York City,NYC,,1974,39,157.5800018311,-74.013420105,40.7096595764,2011
Devon Energy Center,66,office,concrete,COM,Oklahoma City,OKC,2009,2012,52,257.2300109863,-97.5176315308,35.4668617249,
Distrikt Hotel,1645,hotel,concrete,COM,New York City,NYC,,2009,32,103.9000015259,-73.9928436279,40.756690979,
DKLB BKLN,1182,residential,concrete,COM,New York City,NYC,2008,2010,34,123.4499969482,-73.9798583984,40.6896400452,
Dominion Tower,1655,office,steel,COM,Norfolk,ORF,,1987,26,103.6299972534,-76.287727356,36.8431587219,
DoubleTree by Hilton Grand Hotel Biscayne Bay,1311,residential \/ hotel,concrete,COM,Miami,MIA,,1978,42,118.25,-80.1865310669,25.7916107178,
Doubletree Guest Suites,2082,hotel,concrete,COM,Houston,HOU,,1982,26,83.1999969482,-95.4689331055,29.7391490936,
Downtown by Philippe Starck,442,residential,steel,COM,New York City,NYC,,1927,42,167.9499969482,-74.0106964111,40.7064285278,
Duke Energy Center,85,office,concrete\/steel,COM,Charlotte,CLT,2007,2010,48,239.6999969482,-80.8486022949,35.2238998413,
DuMont Building,510,office,steel,COM,New York City,NYC,,1931,42,162.1600036621,-73.9735412598,40.7597885132,
Dwight Building,2280,residential,concrete,COM,Chicago,CHI,2007,2008,16,66.8000030518,-87.6309967041,41.8736915588,
E.ON U.S. Center,1763,office,composite,COM,Louisville,LUI,,1989,23,100,-85.7545166016,38.2559700012,
East Coast Tower I,1944,residential,concrete,COM,New York City,NYC,2004,2006,31,91.1399993896,-73.9580307007,40.745880127,
East Coast Tower II,1836,residential,concrete,COM,New York City,NYC,,2008,30,96.3199996948,-73.9563598633,40.7458610535,
East Hampton,1825,residential,concrete,COM,Jersey City,JEC,,1999,32,97.5,-74.0311203003,40.7276306152,
East Point,1290,residential,concrete,COM,Chicago,CHI,1966,1967,43,119.1800003052,-87.6543579102,41.992729187,
"EAST, Miami",569,serviced apartments \/ hotel,concrete,UCT,Miami,MIA,2012,2016,41,157.2799987793,-80.1927337646,25.7667598724,
Eaton Center,1530,office,concrete,COM,Cleveland,CLE,1981,1983,28,108.5100021362,-81.6869277954,41.5035209656,
Echelon at K Station,1484,residential,concrete,COM,Chicago,CHI,2006,2008,36,110.6999969482,-87.6440505981,41.8883705139,
Echelon Place Main Resort Tower,213,hotel,concrete,NC,Las Vegas,LAS,2007,,57,198.1199951172,0,0,
Echelon Place Shangri-La Tower,810,hotel,concrete,NC,Las Vegas,LAS,2007,,-,142,0,0,
Echelon Suite Tower,478,hotel,concrete,NC,Las Vegas,LAS,2007,,47,165,0,0,
Echo Brickell,237,residential,concrete,UC,Miami,MIA,2015,2017,60,194.1999969482,-80.1924285889,25.7580890656,
Eddie Bauer at Lincoln Square,1138,office,composite,COM,Bellevue,BVE,2000,2007,28,125.5800018311,-122.2008209229,47.6167182922,
Edgecliff Point Condos,2035,residential,concrete,COM,Cincinnati,CVG,,1990,24,86.5,-84.4834136963,39.1201515198,
Edgewater Plaza North,1498,residential,concrete,COM,Chicago,CHI,,1968,38,110,-87.6544723511,41.9817314148,
Edgewater Plaza South,1602,residential,concrete,COM,Chicago,CHI,1970,1971,38,105.5,-87.6547470093,41.981098175,
Edith Green-Wendell Wyatt Federal Building,1504,office,steel,COM,Portland,PDX,2010,2013,18,110,-122.6769790649,45.5144309998,
"Eiffel Tower, Paris Las Vegas",483,observation,steel,COM,Las Vegas,LAS,,1998,-,164.6000061035,-115.1721191406,36.112449646,
Eight O Five,1588,residential,concrete,COM,Chicago,CHI,2013,2015,33,106.0699996948,-87.6323013306,41.896900177,
Eight Spruce Street,52,residential,concrete,COM,New York City,NYC,2006,2011,76,265.1799926758,-74.0056686401,40.7108612061,
Eighteen Eighty Eight Building,1766,office,steel,COM,Los Angeles,LAX,,1971,21,100,-118.4139022827,34.0612182617,
El Paso Energy Building,629,office,steel,COM,Houston,HOU,,1962,33,153,-95.3673782349,29.757850647,
Electra,765,residential,steel\/concrete,COM,San Diego,SAN,2004,2008,43,144.7799987793,-117.1696472168,32.7150497437,
Element,832,residential,concrete,COM,Tampa,TPA,2007,2009,34,140.2100067139,-82.4598007202,27.9508590698,
Element New York Times Square West,933,hotel,concrete,COM,New York City,NYC,2008,2010,39,135,-73.9918212891,40.7558517456,
Eleven Times Square,310,office,composite,COM,New York City,NYC,2007,2011,40,183.1000061035,-73.9896316528,40.7567710876,
Eleven-Eleven Third Avenue,864,office,steel,COM,Seattle,SEA,,1980,34,138.3800048828,-122.3353805542,47.606590271,
Eleven55 Ripley,2321,residential,concrete,COM,Silver Spring,SIS,2012,2014,21,60.9599990845,-77.0284805298,38.9926681519,
Eleven80,907,residential,steel,COM,Newark,EWR,1929,1930,35,136.6000061035,-74.1699829102,40.7371292114,
Elihu M. Harris State Office Building,1763,government,steel,COM,Oakland,OAK,,1998,23,100,-122.2732772827,37.8064804077,
Elliott Grand Hyatt Seattle,2026,hotel,concrete,COM,Seattle,SEA,1999,2001,30,87,-122.333656311,47.6125984192,
Ellison Building,1903,hospital,composite,COM,Boston,BOS,1989,1992,24,93.4000015259,-71.0695877075,42.3634185791,
Elm Place,257,office,steel,COM,Dallas,DAL,,1965,52,191.419998169,-96.8007583618,32.7814483643,
Elm Street Plaza,1687,residential,concrete,COM,Chicago,CHI,,1974,33,102.1100006104,-87.6304168701,41.9028816223,
Elysees Condominiums,519,residential \/ retail,concrete,COM,Chicago,CHI,1971,1973,56,161.2400054932,-87.6251907349,41.8980102539,
Embassy Suites Hotel,1179,hotel,concrete,UC,New York City,NYC,2014,2016,42,123.6999969482,-73.9858932495,40.7512817383,
Embassy Suites Times Square,790,hotel,composite,COM,New York City,NYC,1988,1990,44,143.2599945068,-73.9843673706,40.7588005066,
Emerald Green,2126,residential,concrete,COM,New York City,NYC,,2009,24,80.7699966431,-73.9932327271,40.7549591064,
Emerson Tower,2007,office,steel,COM,Baltimore,BAL,1907,1911,15,88.0999984741,-76.6206588745,39.2877006531,
Empire State Building,12,office,steel,COM,New York City,NYC,1930,1931,102,381,-73.9856033325,40.7484207153,
Empire Trust Company Building,966,office,steel,COM,New York City,NYC,,1927,33,133.5,-73.9786911011,40.7570381165,
Encore,248,hotel,concrete,COM,Las Vegas,LAS,2006,2008,52,192.3300018311,-115.1648635864,36.1295013428,
Encore Condominiums,2405,residential \/ retail,concrete,COM,Nashville,NSH,,2008,21,,-86.7747116089,36.1590194702,
Endeavor Condominium,1386,residential,concrete,COM,Honolulu,HNL,,1976,42,114.9000015259,-157.8381958008,21.2856502533,
Enquirer Building,2348,hotel,steel,COM,Cincinnati,CVG,,1928,14,54.2999992371,-84.5138473511,39.1029014587,
